"","sample","lang","cregion","state","sex","q1","q3","eminuse","intmob","bbhome3a","bbhome3b","bbhome3c","bbhome3d","bbhome3e","cable1","date3a","date3b","date4a","date4b","date4c","date4d","date4e","date4f","game1","game2a","game2b","game2c","game2d","game2e","game2f","game3a","game3b","age","marital","hh1","par","educ2","party","ideo","hisp","race","employed"
"1",1,1,3,51,2,1,2,1,1,3,3,3,3,2,1,2,2,2,2,2,2,1,1,2,2,1,NA,3,NA,3,2,1,47,1,4,1,6,3,1,2,1,0
"4",1,1,3,37,2,1,2,1,1,3,3,3,3,3,1,1,1,2,2,2,2,1,1,2,2,1,2,2,2,3,1,2,40,1,3,2,5,1,2,2,1,1
"6",1,1,2,20,2,1,2,1,1,1,1,1,2,2,1,2,2,2,1,2,1,1,2,2,3,1,1,3,NA,NA,2,1,69,1,2,2,6,3,3,2,1,1
"13",1,1,2,27,1,1,3,1,1,3,3,3,3,3,1,1,1,1,1,2,2,NA,2,1,1,2,3,2,3,3,2,2,52,1,2,2,4,3,2,2,1,1
"15",1,1,3,45,2,4,4,1,1,2,1,1,1,1,1,1,2,1,1,2,2,1,2,1,2,1,2,3,2,3,1,2,43,1,2,1,6,3,3,2,1,1
"16",1,1,3,1,2,2,2,1,1,3,3,3,3,3,1,1,2,1,2,2,2,2,1,2,2,2,1,NA,NA,3,1,1,44,1,3,2,4,1,2,2,1,1
"20",1,1,3,1,1,1,2,1,1,3,3,3,3,3,1,2,2,1,1,2,2,1,2,2,2,3,NA,NA,NA,NA,1,1,58,1,2,2,6,1,3,2,1,1
"21",1,1,4,30,2,4,4,1,1,2,1,2,2,1,2,2,1,1,1,2,2,1,1,1,1,2,NA,1,1,2,1,1,31,6,1,1,3,3,3,2,5,1
"24",1,1,3,45,1,4,4,2,2,3,3,2,3,3,1,2,2,1,1,1,1,1,1,2,2,3,3,2,3,1,2,2,57,1,3,2,3,2,1,2,1,1
"26",1,1,3,51,2,2,3,1,2,3,1,1,2,2,2,1,2,2,2,1,2,2,1,2,2,1,1,2,1,3,1,1,36,1,2,1,8,3,NA,1,2,0
"27",1,1,4,49,2,2,4,1,1,3,2,NA,3,1,2,2,1,2,2,2,2,2,1,1,2,3,NA,2,NA,1,1,NA,39,1,2,1,6,1,2,2,1,0
"30",1,1,2,27,2,2,2,1,2,2,1,1,1,2,2,1,2,1,2,2,2,1,2,2,3,1,3,3,2,3,2,1,63,1,2,2,8,3,3,2,1,1
"33",1,1,4,6,1,1,2,1,1,3,3,3,3,2,1,2,2,2,2,2,2,1,1,1,3,1,1,3,2,2,1,2,19,6,3,2,3,2,3,2,1,1
"34",1,1,4,41,1,3,3,1,1,2,1,2,1,1,1,2,2,1,1,2,2,1,2,1,2,3,2,1,2,1,2,2,28,6,2,2,3,1,2,2,1,1
"35",1,1,2,39,2,1,2,1,1,2,1,1,1,1,1,1,1,2,1,2,2,2,1,2,3,1,NA,3,NA,3,1,1,49,1,2,1,6,2,3,2,1,0
"36",1,1,2,55,2,2,2,1,1,3,2,3,3,3,1,2,2,1,1,2,2,2,2,1,2,3,3,2,3,2,2,2,45,6,1,1,5,1,NA,2,1,1
"43",1,1,1,9,2,3,3,1,2,2,2,2,2,2,1,1,1,1,1,2,2,1,2,2,NA,NA,NA,NA,NA,NA,2,NA,73,1,2,2,4,3,2,2,1,1
"44",1,1,4,6,2,1,2,1,1,2,1,1,1,1,2,2,2,1,1,2,1,2,1,1,2,2,NA,1,3,1,1,1,19,6,4,2,4,2,4,1,1,1
"45",1,1,3,12,1,1,4,1,2,2,3,3,3,3,1,2,2,2,2,1,1,2,1,2,3,NA,NA,3,NA,NA,1,1,70,1,2,2,3,1,1,2,1,1
"46",1,1,3,45,1,2,3,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,3,NA,2,3,1,1,2,25,6,3,2,5,NA,2,2,1,1
"49",1,1,2,26,1,1,2,1,2,3,3,3,3,3,1,2,2,1,1,2,2,1,1,2,NA,1,NA,NA,NA,2,2,2,51,1,2,2,6,3,2,2,1,1
"50",1,1,4,53,2,1,2,1,1,3,1,1,NA,1,1,1,1,1,1,2,1,1,2,1,2,1,1,2,NA,NA,1,1,73,1,2,2,6,3,4,2,1,1
"51",1,1,4,41,2,3,3,1,1,3,3,3,3,3,1,1,1,1,1,2,2,1,1,2,3,2,NA,3,NA,2,1,2,40,1,2,1,8,3,3,2,1,1
"55",1,1,1,34,2,2,3,1,1,2,1,NA,2,3,1,1,2,1,1,2,2,2,1,2,NA,1,NA,NA,NA,3,1,2,37,6,1,1,6,3,3,2,1,1
"56",1,1,3,22,2,1,4,2,2,3,3,1,2,3,2,1,2,1,1,2,2,1,2,2,3,1,3,3,3,3,1,2,56,3,1,2,3,1,3,2,1,0
"57",1,1,3,54,1,1,2,1,1,2,2,2,2,2,1,1,2,1,1,2,1,2,1,2,NA,1,NA,2,NA,3,1,1,61,1,2,2,5,3,1,2,1,1
"58",1,1,3,21,2,4,4,1,2,3,3,3,3,3,1,2,2,1,2,1,1,2,1,2,3,2,3,3,3,3,1,2,60,5,2,2,3,2,2,2,1,1
"60",1,1,1,42,2,1,1,1,1,3,2,2,2,2,1,2,1,2,NA,2,NA,NA,1,1,3,2,2,3,NA,2,NA,1,43,1,2,1,8,2,4,2,3,1
"61",1,1,3,47,2,1,4,2,2,3,2,NA,1,3,1,2,2,2,2,1,NA,2,1,2,3,1,2,NA,NA,3,1,1,72,1,2,1,3,1,1,2,1,0
"62",1,1,2,29,2,2,2,1,1,2,1,3,NA,3,1,1,2,1,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,99,NA,NA,2,NA,2,4,NA,NA,0
"65",1,1,1,34,1,2,2,1,1,3,3,3,3,1,1,2,1,1,NA,2,2,NA,1,2,2,1,NA,2,NA,NA,1,2,45,1,2,1,8,2,5,2,NA,1
"72",1,1,2,27,2,2,1,2,2,1,2,2,3,2,1,2,2,1,2,2,2,2,2,2,2,1,2,3,2,2,1,2,53,1,2,2,3,3,4,2,1,1
"73",1,1,1,36,1,1,2,1,2,1,2,1,1,2,1,2,2,2,2,NA,2,NA,1,2,3,NA,NA,NA,NA,NA,1,1,59,3,2,2,6,2,3,2,2,1
"77",1,1,2,26,1,2,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,2,2,1,3,2,3,2,2,56,1,2,2,3,3,3,2,1,1
"79",1,1,1,34,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,3,3,2,1,2,19,6,3,2,3,3,3,2,1,0
"83",1,1,4,15,2,1,2,1,1,2,1,1,1,2,1,2,2,NA,1,2,2,1,NA,2,NA,1,NA,3,NA,3,1,1,54,1,3,2,5,1,2,2,1,1
"84",1,1,4,35,2,2,2,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,NA,1,NA,NA,NA,3,2,1,51,3,3,2,6,2,4,1,1,1
"87",1,1,2,29,1,2,2,1,1,3,2,3,NA,2,1,2,2,1,2,2,2,2,1,1,1,3,3,1,3,2,2,2,34,6,1,2,6,1,2,2,1,1
"88",1,1,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,NA,2,1,2,55,1,2,2,8,2,5,2,1,1
"89",1,1,4,6,1,2,3,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,3,NA,3,NA,3,1,2,61,1,2,2,6,2,3,2,1,1
"91",1,1,4,6,2,1,2,1,1,2,1,1,1,2,1,2,1,1,2,2,2,2,1,1,NA,1,NA,3,NA,NA,1,1,51,3,1,2,5,NA,NA,2,1,1
"92",1,1,3,37,1,1,2,1,2,3,3,3,3,3,1,1,1,2,2,2,2,2,1,2,2,1,NA,NA,NA,2,1,2,67,3,2,2,6,3,3,2,1,1
"94",1,1,3,51,2,1,1,1,1,3,3,3,3,3,2,1,1,1,1,1,2,1,2,1,2,1,1,2,NA,2,1,2,36,1,2,1,5,1,4,2,1,1
"101",1,1,1,23,2,2,4,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,NA,2,NA,2,2,1,60,1,2,2,5,3,2,2,1,1
"104",1,1,2,17,1,2,2,1,1,1,2,1,2,1,1,2,2,2,2,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,2,56,1,2,2,8,2,3,2,1,1
"106",1,1,3,51,1,1,2,2,2,3,3,3,3,2,1,2,2,2,2,1,NA,2,1,2,NA,NA,NA,NA,1,NA,NA,NA,73,5,1,2,4,1,3,2,1,1
"107",1,1,1,36,2,1,2,1,1,3,3,3,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,1,1,44,1,2,1,8,NA,3,2,NA,1
"108",1,1,3,51,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,1,2,2,1,1,3,3,1,1,62,1,2,2,8,3,5,2,1,1
"109",1,1,2,17,1,2,2,1,1,2,2,NA,2,2,1,1,1,2,1,NA,2,2,1,1,2,1,2,3,NA,3,1,NA,59,1,2,2,6,1,2,2,1,1
"110",1,1,2,39,2,1,2,1,1,1,1,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,1,72,5,1,2,8,NA,2,2,1,1
"111",1,1,2,39,2,2,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,1,2,2,2,NA,3,NA,NA,1,1,46,1,2,2,8,3,3,1,1,1
"116",1,1,1,42,1,1,2,1,1,3,1,2,3,2,1,2,2,1,2,2,2,1,1,2,2,1,3,3,3,3,2,2,18,6,3,2,3,3,3,2,1,1
"117",1,1,3,21,1,2,2,1,2,2,2,3,3,2,1,1,1,1,2,NA,2,1,2,1,2,3,2,3,3,1,2,2,33,6,3,2,8,1,2,2,1,1
"120",1,1,3,48,2,1,3,1,1,3,3,1,1,3,1,2,2,1,1,2,2,1,2,2,2,1,2,NA,NA,NA,1,2,56,3,2,2,3,1,3,2,1,0
"123",1,2,3,48,2,1,3,2,1,1,3,1,3,1,2,2,2,2,2,2,1,2,1,2,1,1,1,2,2,3,1,1,83,5,1,2,3,2,2,1,1,0
"131",1,1,1,36,2,4,4,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,1,2,NA,1,2,1,1,1,2,22,6,5,2,5,2,5,1,2,1
"133",1,1,3,1,1,1,2,1,1,3,1,2,1,3,1,1,1,1,2,2,2,2,1,2,3,1,1,3,NA,1,1,2,53,1,2,2,8,2,4,2,2,1
"134",1,1,2,18,2,1,1,1,1,1,2,1,2,2,1,2,2,1,1,2,2,1,2,1,3,2,2,2,2,2,1,1,18,6,4,2,3,2,4,2,1,0
"135",1,1,4,6,1,1,2,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,NA,1,2,2,25,6,2,2,4,3,1,1,4,1
"138",1,1,4,53,2,1,2,1,1,3,1,NA,3,3,1,2,2,NA,NA,NA,NA,NA,NA,2,3,2,NA,3,NA,NA,NA,1,57,1,2,2,8,NA,NA,2,1,1
"141",1,1,1,25,2,2,2,1,1,3,3,3,3,3,2,1,1,2,2,NA,2,2,1,1,1,3,NA,2,NA,2,NA,NA,61,3,1,2,8,3,4,2,1,1
"143",1,1,1,33,1,2,3,1,1,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,2,64,1,2,2,4,3,3,2,1,1
"147",1,1,1,42,2,3,4,1,1,2,2,2,2,2,1,1,1,1,1,2,2,1,2,2,2,3,3,3,3,3,1,2,44,6,2,2,6,3,3,2,1,1
"148",1,1,2,18,2,2,3,1,1,3,NA,3,3,NA,1,2,2,2,2,2,2,2,2,1,2,2,2,NA,2,3,1,2,44,2,2,1,3,NA,NA,2,1,1
"151",1,1,1,36,2,1,2,1,1,3,3,3,3,3,1,2,2,1,1,2,2,1,2,1,NA,NA,NA,NA,NA,NA,2,1,64,6,1,2,4,1,2,2,1,1
"153",1,1,3,47,2,1,1,1,1,3,1,NA,3,2,1,1,2,1,1,2,2,1,2,1,2,2,2,2,NA,2,1,1,60,1,2,2,7,3,3,2,1,1
"157",1,1,3,51,2,1,2,1,1,3,3,3,3,3,1,2,1,1,1,2,2,2,2,1,2,3,2,2,3,3,2,2,35,1,2,1,6,1,2,2,1,1
"160",1,1,3,13,2,2,2,1,1,3,2,NA,NA,1,1,2,1,2,2,2,2,2,1,2,NA,1,1,3,1,2,1,2,49,1,2,1,8,2,3,2,2,1
"161",1,1,3,47,1,2,3,1,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,3,1,2,3,2,2,1,1,52,1,2,2,8,1,3,2,1,1
"162",1,1,2,18,1,2,3,1,2,2,1,1,1,2,1,1,2,1,2,2,2,1,1,1,2,1,NA,3,3,3,1,2,59,3,1,2,5,3,3,2,1,1
"164",1,2,1,34,2,NA,4,1,2,NA,NA,NA,1,2,1,NA,2,1,1,NA,NA,NA,1,2,2,NA,1,NA,2,3,2,1,49,3,2,1,1,NA,NA,1,6,0
"165",1,1,1,36,2,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,2,NA,2,1,2,1,NA,1,1,21,6,1,2,3,2,5,2,1,0
"167",1,1,1,34,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,2,3,2,2,3,3,1,2,21,6,4,2,4,3,4,2,1,1
"172",1,1,2,38,2,2,2,1,2,2,2,1,2,2,1,1,1,2,2,2,1,2,1,2,3,1,3,3,3,NA,1,2,53,1,2,2,6,1,2,2,1,1
"183",1,1,4,6,2,3,3,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,NA,2,2,2,1,NA,50,2,5,1,4,2,2,2,1,1
"184",1,1,4,53,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,3,2,1,3,NA,1,2,49,1,3,1,8,1,2,2,1,1
"187",1,1,1,36,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,NA,NA,2,3,1,NA,2,NA,2,1,1,45,1,3,1,8,2,3,2,1,1
"188",1,1,3,12,2,2,2,1,1,3,3,3,3,3,1,2,2,2,1,2,NA,2,2,2,2,2,NA,3,NA,2,1,NA,59,1,2,2,7,3,3,2,1,1
"189",1,1,1,36,2,2,3,1,2,3,3,3,3,3,1,1,2,2,2,NA,2,2,2,2,3,2,NA,3,NA,3,1,NA,99,1,4,2,8,3,2,2,1,1
"193",1,1,2,17,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,3,1,1,1,1,45,6,1,2,5,NA,NA,2,1,0
"196",1,1,2,29,2,2,3,1,1,2,1,1,2,1,1,1,2,2,1,2,1,1,1,1,2,1,1,3,NA,NA,1,2,40,1,2,1,8,3,4,2,1,1
"199",1,1,1,34,1,2,3,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,3,1,3,3,NA,1,1,1,57,1,4,2,4,3,1,2,1,1
"200",1,1,3,37,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,1,NA,2,NA,2,1,2,62,1,2,2,6,2,5,2,1,0
"206",1,1,2,20,2,2,NA,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,3,2,NA,3,NA,3,1,1,99,1,2,2,5,3,2,2,2,1
"209",1,1,2,18,2,1,2,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,2,1,3,1,NA,NA,NA,2,1,1,59,1,2,2,3,2,4,2,1,1
"213",1,1,2,27,1,1,2,1,1,3,1,2,3,2,1,2,2,2,2,2,NA,1,1,2,3,1,NA,NA,NA,NA,NA,1,54,NA,1,NA,4,3,2,2,1,1
"216",1,1,4,6,1,2,2,2,2,3,3,NA,3,3,1,2,2,2,2,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,90,5,1,2,6,2,3,2,1,1
"217",1,1,1,34,2,2,2,1,1,3,1,2,3,1,1,2,2,1,1,2,2,1,2,1,2,3,2,NA,3,2,2,2,57,6,1,2,3,1,2,2,1,1
"218",1,1,4,32,1,1,2,1,1,3,3,2,3,2,1,2,2,1,2,2,2,2,1,1,2,2,3,2,3,2,1,1,72,1,2,2,5,1,2,2,4,1
